Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Previous_Crop,Region,Fertilizer_Used_Last_Season,Yield_Last_Season,Recommended_Fertilizer
Loamy,7.31,17.03,0.27,1.55,41,55,117,19.71,65.31,1254.29,Tomato,Sowing,Zaid,Sprinkler,Wheat,Central,167.82,2.82,Compost
Sandy,7.13,10.0,0.21,0.96,89,51,18,24.7,42.24,845.05,Potato,Harvest,Kharif,Canal,Rice,South,198.57,4.9,Compost
Sandy,5.19,28.4,0.62,0.24,101,11,97,24.07,81.55,2033.88,Sugarcane,Sowing,Rabi,Canal,Wheat,West,220.6,2.59,SSP
Loamy,5.54,43.29,1.34,1.77,78,21,43,26.0,47.28,1723.82,Tomato,Vegetative,Zaid,Rainfed,Wheat,North,236.66,4.58,SSP
Clay,5.66,10.0,0.33,2.14,64,55,34,20.66,67.53,1815.87,Tomato,Sowing,Zaid,Canal,Rice,West,287.76,3.69,Compost
Clay,6.35,28.7,1.39,2.96,90,53,27,29.01,41.51,336.38,Sugarcane,Flowering,Zaid,Canal,Potato,West,262.7,1.32,MOP
Silt,6.4,22.56,1.11,2.39,44,39,41,19.57,52.44,1596.21,Maize,Harvest,Kharif,Drip,Sugarcane,South,168.41,8.0,NPK
Sandy,6.24,26.91,0.6,2.22,47,31,46,24.47,47.57,1813.44,Rice,Sowing,Rabi,Drip,Cotton,North,201.14,2.4,NPK
Loamy,5.37,48.71,0.84,1.86,154,62,25,20.9,90.0,3000.0,Sugarcane,Flowering,Zaid,Sprinkler,Maize,East,178.82,4.28,MOP
Sandy,7.98,20.47,1.11,1.5,114,43,98,24.52,44.35,2352.58,Tomato,Harvest,Rabi,Sprinkler,Sugarcane,South,217.49,5.84,Zinc Sulphate
Sandy,8.47,33.58,0.34,1.37,71,58,117,29.25,73.17,2332.77,Maize,Vegetative,Rabi,Canal,Cotton,Central,136.72,4.45,Zinc Sulphate
Silt,6.23,16.38,0.38,0.22,125,33,62,14.18,75.69,2790.93,Rice,Vegetative,Kharif,Canal,Potato,West,214.61,1.38,DAP
Loamy,8.04,60.0,0.94,1.85,149,77,78,20.46,59.84,2214.87,Rice,Vegetative,Zaid,Rainfed,Maize,East,247.79,3.41,Zinc Sulphate
Loamy,8.0,30.13,0.92,1.0,84,87,51,29.7,75.88,2455.09,Rice,Flowering,Rabi,Rainfed,Maize,North,99.78,7.73,Zinc Sulphate
Sandy,5.89,22.03,0.35,2.61,44,28,87,26.53,57.26,1054.8,Sugarcane,Sowing,Zaid,Drip,Wheat,North,260.66,2.45,DAP
Sandy,8.0,38.67,0.55,0.9,89,70,37,25.1,49.85,2303.06,Sugarcane,Harvest,Kharif,Rainfed,Cotton,North,278.22,3.44,MOP
Sandy,6.82,21.57,0.35,1.2,157,61,113,10.0,52.78,736.42,Wheat,Harvest,Kharif,Drip,Rice,South,148.21,6.17,Compost
Silt,8.04,51.18,1.28,2.88,156,61,81,28.03,44.93,1810.2,Maize,Flowering,Rabi,Rainfed,Wheat,South,233.69,2.74,Zinc Sulphate
Clay,6.54,18.57,0.23,3.0,159,19,32,22.63,37.31,2356.13,Potato,Harvest,Zaid,Drip,Cotton,East,84.72,5.49,Compost
Loamy,7.54,20.58,0.67,1.53,35,28,53,20.77,45.34,828.42,Wheat,Sowing,Zaid,Sprinkler,Rice,South,248.97,3.7,DAP
Sandy,8.42,54.76,0.41,1.34,38,38,102,23.22,71.59,1646.44,Wheat,Harvest,Zaid,Sprinkler,Cotton,North,56.32,4.98,Urea
Clay,8.0,46.56,0.39,2.51,106,57,44,18.92,69.45,2150.69,Potato,Vegetative,Rabi,Canal,Maize,West,119.81,1.27,Zinc Sulphate
Silt,5.61,38.65,0.76,2.13,42,21,48,29.27,82.02,2427.67,Rice,Vegetative,Zaid,Drip,Cotton,North,135.67,4.97,NPK
